Name,MJD,Fiber ID,Plate,Black Hole Mass Using CIV (Solar Mass),Black Hole Mass Using CIV Error,Luminosity Using CIV (ergs/s),Luminosity Using CIV Error,Full Width Half Max Using CIV (km/s),Full Width Half Max Using CIV Error,Black Hole Mass Using MgII (Solar Mass),Black Hole Mass Using MgII Error,Luminosity Using MgII (erg/s),Luminosity Using MgII Error,Full Width Half Max Using MgII (km/s),Full Width Half Max Using MgII Error,Line Shift of CIV (km/s),Line Shift of MgII (km/s)
380260561.0,55824.0,105.0,5202.0,417655923.6498655,26080664901.33356,6.036374736031247e+43,7.111101984003353e+45,10927.06764492937,5830.573958411947,0.7544384831943812,0.0,2.5245449932881283e+38,0.0,12.36611813596589,0.0,3.407332023800336,4.5582563973271135
381575737.0,55824.0,106.0,5202.0,16942455.991720613,104762973.12236324,2.6008308764580146e+43,2.941797548937944e+44,2750.9549180334006,2084.757017519033,4.113233060433177,0.0,6.173164076673396e+39,0.0,12.376763334516859,0.0,1.8422552849692693,6.962566747941764
380261193.0,55824.0,112.0,5202.0,67402042.84303166,169620083.0099141,7.657588063095898e+43,1.3228827301860276e+44,4121.470064261911,4830.506792259594,94652098.68183735,160489594.40231353,2.4366573094285784e+43,7.28531657881969e+43,6615.529242550277,1995.3653140690099,2.5698681681685684,-2.988092170834989
383378062.0,55824.0,115.0,5202.0,515048271.86180025,2722518661495.7886,3.4238791516441126e+43,3.4148016987162666e+47,14101.866009664654,877.2959389532203,nan,nan,2.0114671167860735e+39,1.5445284058941684e+57,nan,nan,1.8505881275191314,3.5746869195813815
381052598.0,55824.0,118.0,5202.0,83816563.27885896,7.528461682411253e+16,8.633277554362737e+41,1.463107473260424e+51,15086.14797878225,400.59971422455806,nan,nan,7.883124398362754e+39,7.219196941445493e+49,nan,nan,0.9386455681462849,0.569096356434784
383625775.0,55824.0,152.0,5202.0,175766425.44968292,409453485.1958181,8.350563516759329e+43,2.7738959182612903e+44,6504.490408369605,4961.305571727196,97765262.36542138,848393264.2299349,1.2984201858377001e+43,2.123909992533991e+44,7943.9635268739075,1507.7905840080657,1.9006981909765273,8.692528332401253
378323604.0,55824.0,180.0,5202.0,45308008.5780336,257644993.8959897,1.1507385994949934e+43,1.151754292543877e+44,5583.784728202929,5719.581929186897,10428345.957610121,368748625.677133,5.340925897143211e+41,3.562508942428868e+43,6043.511165190036,2289.254784602396,-1.6813032069601377,2.9219167241808464
381958117.0,55824.0,194.0,5202.0,476022799.6901609,9400386583468356.0,7.762015168642605e+43,2.892121787676805e+51,10913.66548436523,3997.0934370083323,2977551.151606211,117806791505.37053,1.654688532531763e+40,1.2352403921087147e+45,8109.0468089469205,365.00074237839755,1.7411689065768314,1.236735149224387
381958234.0,55824.0,224.0,5202.0,nan,nan,7.050647286380245e+41,1.6369585495228613e+54,nan,nan,3.0655700226888163,29336851591.70263,9.02922444279599e+39,1.6303349631367779e+50,9.660692337354817,0.0,1.0640674341364047,4.314715555358816
377911341.0,55824.0,295.0,5202.0,358246853.15386117,7.064027779778432e+17,6.365768770549621e+43,2.368345201867573e+53,9978.625284861148,4312.823188419396,72072.41751481062,147522.94035693706,3.879280864731971e+42,1.0426101915056343e+43,297.074565417687,218.33609448803517,2.1822824243429295,-0.9834005977008928
380779609.0,55824.0,308.0,5202.0,24506645.556457475,1166118688.7571702,1.7670127619904165e+43,1.585604662771799e+45,3665.4172379579804,2823.754949907633,nan,nan,1.4165498865441366e+40,5.455678888002015e+62,nan,nan,-0.39687101032654937,-2.610219447038162
378566047.0,55824.0,338.0,5202.0,115063817.14169814,200163983.37635332,3.8994462339225337e+43,1.0482719529546879e+44,6439.521691149725,3213.6171470569325,3060887.999085743,4427507462333.249,2.231010804745441e+40,6.088883535183097e+46,7595.751985310003,0.0,3.445367970539337,1.7269704755085513
378566089.0,55824.0,340.0,5202.0,536050316.7416729,382269368554.41815,4.398641631720674e+43,5.918431094235595e+46,13462.426793374465,2465.718913354283,6257566.895010799,103999798.43718942,7.534246986862075e+41,2.357594120914992e+43,4273.534254967524,2311.519722175967,2.7765687668954797,0.6229390225594216
374762279.0,56567.0,120.0,7128.0,165440841.83972856,2427882448.2397995,7.866137462289632e+43,2.1705191666880486e+45,6411.277277058539,3912.1930534066346,5570617.766224909,135351688.85825592,9.258943185156447e+41,4.2397123868118137e+43,3817.7976286996927,2245.2870687905556,2.521663058792001,1.558320839355929
368581094.0,56567.0,171.0,7128.0,12052123.594913868,100034805.07073243,5.587290463231734e+43,8.563941796435433e+44,1894.6258448629158,1613.2676594629181,111533191.39779364,4185624510.84705,1.4932037251673823e+43,1.0572934494521899e+45,8176.3695553705,640.9458995694343,2.3987812142440816,4.264582775485906
371736481.0,56567.0,178.0,7128.0,288496673.5751,2028622318.419931,4.3976685250679493e+43,5.788542327460857e+44,9876.804211977636,4352.043165839809,8049588.632966178,4890887275.238112,1.2147156632314253e+41,1.3925560421402177e+44,7861.421207528692,1106.7505962287198,3.3712296782052817,-0.37051568683273217
373303962.0,56567.0,270.0,7128.0,2867220.2417721963,1847636955838922.8,8.276041826119914e+41,1.0062418910419733e+51,2821.678425835694,5590.150540069047,50756105.47831335,6789560137.337411,3.748730418445103e+42,9.461512584477555e+44,7955.4514538048315,1207.0232095117553,0.9557460005441953,3.646785753191125
